--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:45:12.570 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:12.570 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:12.580 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.580 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.580 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:12.690 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:12.690 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:12.690 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:12.720 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:12.720 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:12.730 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.730 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.730 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:12.840 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:12.840 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:12.840 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:12.890 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:12.890 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
