--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:51:52.059 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:52.099 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:52.099 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:52.109 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:52.109 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:52.109 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:52.230 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:52.240 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:52.250 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:52.290 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:52.300 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:52.310 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:52.310 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:52.310 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:52.420 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:52.430 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:52.440 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:52.460 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:52.470 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:52.480 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:52.480 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:52.480 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:52.600 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:52.610 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:52.620 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:52.660 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:52.660 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:52.670 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:52.670 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:52.670 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:52.800 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:52.800 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:52.810 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:52.860 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:52.870 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:52.870 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:52.870 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:52.880 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:53.010 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:53.010 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:53.010 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:53.060 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:53.070 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:53.080 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:53.080 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:53.080 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:53.201 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:53.211 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:53.211 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:53.251 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:53.251 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:53.261 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:53.261 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:53.261 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:53.371 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:53.381 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:53.391 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:53.441 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:53.441 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:53.451 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:53.451 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:53.451 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:53.571 I/libframegrabber(11974): ---sws_scale ED
