--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:03:33.742 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:33.742 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:33.742 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:33.772 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:33.772 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.782 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.792 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.792 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:33.932 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:33.932 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:33.932 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:33.972 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:33.972 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:33.982 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.982 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.982 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:34.132 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:34.132 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:34.132 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:34.172 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:34.172 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:34.192 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:34.192 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:34.192 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:34.312 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:34.312 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:34.322 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:34.362 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:34.362 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:34.372 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:34.372 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:34.372 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:34.503 I/libframegrabber(11612): ---sws_scale ED
