--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:57:50.559 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.559 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.559 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:50.689 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:50.689 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:50.689 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:50.729 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:50.729 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:50.739 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.739 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.739 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:50.849 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:50.849 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:50.849 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:50.890 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:50.890 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:50.900 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.900 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.900 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:51.020 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:51.020 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:51.020 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:51.050 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:51.050 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:51.060 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:51.060 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:51.060 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:51.180 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:51.180 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:51.190 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:51.230 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:51.230 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:51.240 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:51.240 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:51.240 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:51.360 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:51.360 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:51.360 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:51.390 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:51.390 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:51.400 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:51.400 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:51.400 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:51.520 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:51.520 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:51.520 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:51.550 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:51.550 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:51.560 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:51.560 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:51.560 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:51.670 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:51.670 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:51.680 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:51.730 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:51.730 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:51.740 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:51.740 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:51.740 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:51.850 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:51.850 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:51.850 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:51.890 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:51.890 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:51.911 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:51.911 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:51.911 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:52.001 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:52.011 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:52.011 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:52.061 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:52.061 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:52.071 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:52.071 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:52.071 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:52.181 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:52.191 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:52.191 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:52.241 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:52.241 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:52.261 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:52.261 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:52.261 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:52.371 I/libframegrabber(12034): ---sws_scale ED
