--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:31:24.792 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:24.802 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:24.802 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:24.802 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:24.802 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:24.942 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:24.942 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:24.992 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:24.992 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:24.992 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:24.992 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:25.092 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:25.092 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:25.092 I/libframegrabber(11718): ---av_read_frame ED
