--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:38:40.717 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:40.757 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:40.757 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:40.767 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.767 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.767 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:40.888 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:40.888 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:40.898 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:40.938 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:40.938 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:40.948 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.948 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.948 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:41.068 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:41.078 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:41.078 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:41.108 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:41.108 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:41.118 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:41.118 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:41.118 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:41.238 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:41.248 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:41.248 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:41.288 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:41.288 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:41.298 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:41.298 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:41.298 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:41.438 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:41.438 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:41.448 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:41.468 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:41.468 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:41.478 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:41.478 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:41.478 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:41.608 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:41.608 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:41.618 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:41.648 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:41.648 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:41.668 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:41.668 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:41.668 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:41.798 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:41.798 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:41.798 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:41.838 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:41.838 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:41.859 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:41.859 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:41.859 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:41.989 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:41.989 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:41.989 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:42.029 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:42.029 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:42.039 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:42.039 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:42.039 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:42.159 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:42.159 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:42.169 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:42.209 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:42.209 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:42.229 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:42.229 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:42.229 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:42.349 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:42.349 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:42.359 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:42.409 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:42.409 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:42.419 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:42.419 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:42.419 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:42.549 I/libframegrabber(11862): ---sws_scale ED
